"Source","SourceFile","ProductGroup","GroupSort","GroupName","Material","LineShiftCount","LineShifts"
"JSON","161016.json","SPK","0","BRS-161016S08ZZ","BRS-161016S08ZZ","2","BRS-161016S08ZZ_E23A | BRS-161016S08ZZ_E23B"
"JSON","161016.json","SPK","0","BRS-161016S08ZZ","YOKE ASSY(161016)","2","YOKE ASSY(161016)_E23A | YOKE ASSY(161016)_E23B"
"JSON","181389.json","SPK","0","181389","BRS-181389S08ZZ","2","BRS-181389S08ZZ_B25A | BRS-181389S08ZZ_C29A"
"JSON","181389.json","SPK","1","181389_b25a","BRS-181389S08ZZ","1","BRS-181389S08ZZ_B25A"
"JSON","201507.json","SPK","0","MSU-L20S15-07_E2","MSU-L20S15-07","2","MSU-L20S15-07_E24A | MSU-L20S15-07_E24B"
"JSON","201507.json","SPK","1","MSU-L20S15-07_E24A","MSU-L20S15-07","1","MSU-L20S15-07_E24A"
"JSON","201507.json","SPK","2","MSU-L20S15-07_E24B","MSU-L20S15-07","1","MSU-L20S15-07_E24B"
"JSON","526TOP.json","MODULE","0","a","MSM-X526B-TOP","5","MSM-X526B-TOP_B23A | MSM-X526B-TOP_B23B | MSM-X526B-TOP_B24A | MSM-X526B-TOP_B24B | MSM-X526B-TOP_B27A"
"JSON","626BOTTOM.json","MODULE","0","A","MSM-X626B-TOP","1","MSM-X626B-TOP_B22A"
"JSON","S931.json","MODULE","0","MSM-S931B","MSM-S931B","2","MSM-S931B_B2AA | MSM-S931B_B2AB"
"JSON","TIA-338-BRACKETPBA.json","TWS","0","338-BRACKETPBA","TIA-338-BRACKET PBA-L","3","TIA-338-BRACKET PBA-L_C2DB | TIA-338-BRACKET PBA-L_C2EA | TIA-338-BRACKET PBA-L_C2EB"
"JSON","TIA-338-BRACKETPBA.json","TWS","0","338-BRACKETPBA","TIA-338-BRACKET PBA-R","4","TIA-338-BRACKET PBA-R_C2DA | TIA-338-BRACKET PBA-R_C2DB | TIA-338-BRACKET PBA-R_C2EA | TIA-338-BRACKET PBA-R_C2EB"
"JSON","TIA-338-BRACKETPBA.json","TWS","1","338-BRACKETPBA-L","TIA-338-BRACKET PBA-L","3","TIA-338-BRACKET PBA-L_C2DB | TIA-338-BRACKET PBA-L_C2EA | TIA-338-BRACKET PBA-L_C2EB"
"JSON","TIA-338-BRACKETPBA.json","TWS","2","338-BRACKETPBA-R","TIA-338-BRACKET PBA-R","4","TIA-338-BRACKET PBA-R_C2DA | TIA-338-BRACKET PBA-R_C2DB | TIA-338-BRACKET PBA-R_C2EA | TIA-338-BRACKET PBA-R_C2EB"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-AP-KR-L","2","TIA-338-FRONT-AP-KR-L_B29B | TIA-338-FRONT-AP-KR-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-AP-KR-R","2","TIA-338-FRONT-AP-KR-R_B28A | TIA-338-FRONT-AP-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-AP-TW-L","1","TIA-338-FRONT-AP-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-AP-TW-R","1","TIA-338-FRONT-AP-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-AP-WW-L","2","TIA-338-FRONT-AP-WW-L_B29A | TIA-338-FRONT-AP-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-AP-WW-R","2","TIA-338-FRONT-AP-WW-R_B28A | TIA-338-FRONT-AP-WW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-KR-L","2","TIA-338-FRONT-BK-KR-L_B29A | TIA-338-FRONT-BK-KR-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-KR-R","2","TIA-338-FRONT-BK-KR-R_B28A | TIA-338-FRONT-BK-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-TW-L","1","TIA-338-FRONT-BK-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-TW-R","1","TIA-338-FRONT-BK-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-WW-L","2","TIA-338-FRONT-BK-WW-L_B29A | TIA-338-FRONT-BK-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-WW-R","2","TIA-338-FRONT-BK-WW-R_B28A | TIA-338-FRONT-BK-WW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-KR-L","2","TIA-338-FRONT-WH-KR-L_B29A | TIA-338-FRONT-WH-KR-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-KR-R","2","TIA-338-FRONT-WH-KR-R_B28A | TIA-338-FRONT-WH-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-TW-L","1","TIA-338-FRONT-WH-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-TW-R","1","TIA-338-FRONT-WH-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-WW-L","2","TIA-338-FRONT-WH-WW-L_B29A | TIA-338-FRONT-WH-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-WW-R","2","TIA-338-FRONT-WH-WW-R_B28A | TIA-338-FRONT-WH-WW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-AP-KR-L","2","TIA-338-FRONT-AP-KR-L_B29B | TIA-338-FRONT-AP-KR-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-AP-TW-L","1","TIA-338-FRONT-AP-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-AP-WW-L","2","TIA-338-FRONT-AP-WW-L_B29A | TIA-338-FRONT-AP-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-BK-KR-L","2","TIA-338-FRONT-BK-KR-L_B29A | TIA-338-FRONT-BK-KR-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-BK-TW-L","1","TIA-338-FRONT-BK-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-BK-WW-L","2","TIA-338-FRONT-BK-WW-L_B29A | TIA-338-FRONT-BK-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-WH-KR-L","2","TIA-338-FRONT-WH-KR-L_B29A | TIA-338-FRONT-WH-KR-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-WH-TW-L","1","TIA-338-FRONT-WH-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-WH-WW-L","2","TIA-338-FRONT-WH-WW-L_B29A | TIA-338-FRONT-WH-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-AP-KR-R","2","TIA-338-FRONT-AP-KR-R_B28A | TIA-338-FRONT-AP-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-AP-TW-R","1","TIA-338-FRONT-AP-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-AP-WW-R","2","TIA-338-FRONT-AP-WW-R_B28A | TIA-338-FRONT-AP-WW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-BK-KR-R","2","TIA-338-FRONT-BK-KR-R_B28A | TIA-338-FRONT-BK-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-BK-TW-R","1","TIA-338-FRONT-BK-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-BK-WW-R","2","TIA-338-FRONT-BK-WW-R_B28A | TIA-338-FRONT-BK-WW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-WH-KR-R","2","TIA-338-FRONT-WH-KR-R_B28A | TIA-338-FRONT-WH-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-WH-TW-R","1","TIA-338-FRONT-WH-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-WH-WW-R","2","TIA-338-FRONT-WH-WW-R_B28A | TIA-338-FRONT-WH-WW-R_B28B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-AP-R-RA1","2","ASSY REAR-338-AP-R-RA1_C21A | ASSY REAR-338-AP-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-AP-L-RA1","2","ASSY REAR-338-AP-L-RA1_C22A | ASSY REAR-338-AP-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-BK-R-RA1","2","ASSY REAR-338-BK-R-RA1_C21A | ASSY REAR-338-BK-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-BK-L-RA1","2","ASSY REAR-338-BK-L-RA1_C22A | ASSY REAR-338-BK-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-WH-R-RA1","2","ASSY REAR-338-WH-R-RA1_C21A | ASSY REAR-338-WH-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-WH-L-RA1","2","ASSY REAR-338-WH-L-RA1_C22A | ASSY REAR-338-WH-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-L","4","ASSY BRACKET-338-INNER-L_C26A | ASSY BRACKET-338-INNER-L_C26B | ASSY BRACKET-338-INNER-L_C24A | ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY BRACKET-338-INNER-R","4","ASSY BRACKET-338-INNER-R_C24A | ASSY BRACKET-338-INNER-R_C24B | ASSY BRACKET-338-INNER-R_C23A | ASSY BRACKET-338-INNER-R_C23B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY F-PCB-338-L","2","ASSY F-PCB-338-L_C2AB | ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY F-PCB-338-R","2","ASSY F-PCB-338-R_C2AA | ASSY F-PCB-338-R_C2BA"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-AP-L-RA1","2","ASSY REAR-338-AP-L-RA1_C22A | ASSY REAR-338-AP-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-BK-L-RA1","2","ASSY REAR-338-BK-L-RA1_C22A | ASSY REAR-338-BK-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY REAR-338-WH-L-RA1","2","ASSY REAR-338-WH-L-RA1_C22A | ASSY REAR-338-WH-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY BRACKET-338-INNER-L","4","ASSY BRACKET-338-INNER-L_C26A | ASSY BRACKET-338-INNER-L_C26B | ASSY BRACKET-338-INNER-L_C24A | ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","1","338-RA-L","ASSY F-PCB-338-L","2","ASSY F-PCB-338-L_C2AB | ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY REAR-338-AP-R-RA1","2","ASSY REAR-338-AP-R-RA1_C21A | ASSY REAR-338-AP-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY REAR-338-BK-R-RA1","2","ASSY REAR-338-BK-R-RA1_C21A | ASSY REAR-338-BK-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY REAR-338-WH-R-RA1","2","ASSY REAR-338-WH-R-RA1_C21A | ASSY REAR-338-WH-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY BRACKET-338-INNER-R","4","ASSY BRACKET-338-INNER-R_C24A | ASSY BRACKET-338-INNER-R_C24B | ASSY BRACKET-338-INNER-R_C23A | ASSY BRACKET-338-INNER-R_C23B"
"JSON","TIA-338-RA.json","TWS","2","338-RA-R","ASSY F-PCB-338-R","2","ASSY F-PCB-338-R_C2AA | ASSY F-PCB-338-R_C2BA"
"JSON","TIA-338-RA.json","TWS","3","338-RA-L-A","ASSY REAR-338-AP-L-RA1","1","ASSY REAR-338-AP-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","3","338-RA-L-A","ASSY REAR-338-BK-L-RA1","1","ASSY REAR-338-BK-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","3","338-RA-L-A","ASSY REAR-338-WH-L-RA1","1","ASSY REAR-338-WH-L-RA1_C22A"
"JSON","TIA-338-RA.json","TWS","3","338-RA-L-A","ASSY BRACKET-338-INNER-L","2","ASSY BRACKET-338-INNER-L_C26A | ASSY BRACKET-338-INNER-L_C24A"
"JSON","TIA-338-RA.json","TWS","3","338-RA-L-A","ASSY F-PCB-338-L","1","ASSY F-PCB-338-L_C2AB"
"JSON","TIA-338-RA.json","TWS","4","338-RA-L-B","ASSY REAR-338-AP-L-RA1","1","ASSY REAR-338-AP-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","4","338-RA-L-B","ASSY REAR-338-BK-L-RA1","1","ASSY REAR-338-BK-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","4","338-RA-L-B","ASSY REAR-338-WH-L-RA1","1","ASSY REAR-338-WH-L-RA1_C22B"
"JSON","TIA-338-RA.json","TWS","4","338-RA-L-B","ASSY BRACKET-338-INNER-L","2","ASSY BRACKET-338-INNER-L_C26B | ASSY BRACKET-338-INNER-L_C24B"
"JSON","TIA-338-RA.json","TWS","4","338-RA-L-B","ASSY F-PCB-338-L","1","ASSY F-PCB-338-L_C2BB"
"JSON","TIA-338-RA.json","TWS","5","338-RA-R-A","ASSY REAR-338-AP-R-RA1","1","ASSY REAR-338-AP-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","5","338-RA-R-A","ASSY REAR-338-BK-R-RA1","1","ASSY REAR-338-BK-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","5","338-RA-R-A","ASSY REAR-338-WH-R-RA1","1","ASSY REAR-338-WH-R-RA1_C21A"
"JSON","TIA-338-RA.json","TWS","5","338-RA-R-A","ASSY BRACKET-338-INNER-R","2","ASSY BRACKET-338-INNER-R_C24A | ASSY BRACKET-338-INNER-R_C23A"
"JSON","TIA-338-RA.json","TWS","5","338-RA-R-A","ASSY F-PCB-338-R","1","ASSY F-PCB-338-R_C2AA"
"JSON","TIA-338-RA.json","TWS","6","338-RA-R-B","ASSY REAR-338-AP-R-RA1","1","ASSY REAR-338-AP-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","6","338-RA-R-B","ASSY REAR-338-BK-R-RA1","1","ASSY REAR-338-BK-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","6","338-RA-R-B","ASSY REAR-338-WH-R-RA1","1","ASSY REAR-338-WH-R-RA1_C21B"
